id,title,year,taglines
3292244,"30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo",2013,"Based On True Events... That May Not Have Happened"
3292379,"300 Killers",2010,"You do the math!"
3292717,"34th & Park",2009,"There's always someone hungrier,Give more, take less"
3292731,"35 and Ticking",2011,"When it comes to love, it's all about the timing."
3292829,"36 Saints",2013,"Are you one of them?"
3292839,360,2011,"Everything comes full circle."
3293126,"3D Bikini Beach Babes Issue #2",2012,"The action is closer than ever! Join Host Marlene Mc'Cohen and her beautiful friends in Southern California's hottest beaches."
3293628,40,2009,"Three lives collide in Istanbul when a bag full of money falls from the sky."
3293770,"40 Years of Silence: An Indonesian Tragedy",2009,"500,000 to 1,000,000 people were killed in Indonesia. The world looked away. 40 years later, four families break the silence.,The world looked away at one of the largest mass-killings in the 20th century of Indonesians, 40 years later, four families break the silence."
3293791,40-Life,2011,"Make it by 40, or it's a life sentence with little chance of parole."
3293929,42,2013,"In a game divided by color, he made us see greatness."
3293967,"420 High Desert Way",2010,"It's a high octane race to see who'll be the last man standing?"
3294024,"42nd Street: River to River",2009,"An upbeat celebration of the past, present and future of 42nd Street as a DNA strip of New York CIty."
3294151,45RPM,2013,"A feature film about the long road to lost music."
3294193,"47 Ronin",2013,"This Christmas, seize eternity."
3294455,"4th and Goal",2010,"How will you be remembered?"
3294594,"5 Days of War",2011,"Their only weapon is the truth."
3294833,"5 Shells",2012,"There is no home"
3294868,"5 Time Champion",2011,"small town. big life."
3295202,50/50,2011,"It takes a pair to beat the odds"
3295319,51,2011,"Welcome to the future,The military's best-kept secret just broke loose."
3295406,"528 Key Movie",2013,"528 key movie, 528hz, 528 hertz, leonard horowitz, len horowitz, 528 key"
3295513,"57.5 Miles",2013,"Because life is a pilgrimage."
3295521,"57th Annual Young Musicians Foundation Gala",2012,"Back to the future on stage"
3295642,"5th of a Degree",2012,"Vengeance affects those who were never involved."
3295648,"5th Street",2013,"All it takes is just one spark...,All it takes is one spark..."
3295689,"6 Bullets",2012,"The greater the sinner, the greater the saint."
3295702,"6 Days",2009,"500 grand, 10 thousand pizzas, 1 spider, & 6 days"
3295712,"6 Degrees of Hell",2012,"Hell Breaks Loose on Halloween...,Hell Is Cold...,Hell Breaks Loose"
3295783,"6 Month Rule",2011,"Tyler always played by his own rules. Rules are meant to be broken."
3295788,"6 Nonsmokers",2011,"We can't just all get along"
3295825,"6 Souls",2010,"The sheltering has begun.,Evil will rise."
3296207,"67th Street, New York, NY",2011,"One rookie detective Dylan Williams, hunt a serial killer who has a very twisted modus operandi."
3296326,"6B: An Anthology of Hawaii Films",2011,"6B: An Anthology of Hawaii Films"
3296419,"7 Below",2012,"Evil has found a new home.,Secrets of the Past Never Die"
3296518,"7 Films, 7 Weeks",2012,"7 films made in 7 consecutive weeks: a self-initiated directorial exercise."
3296567,"7 Lives of Chance",2013,"fluffy towels"
3296623,"7 Nights of Darkness",2011,"Reality TV so real... It's scary,It's the Blair Witch project meets The Ring.,Survive 1 week or die trying."
3296683,"7 Stones",2012,"For some, seven means luck... Here it's life or death."
3296685,"7 Stories from an Old Stripper",2011,"7 short stories of an old stripper in a ghost town"
3296978,"75-0: The Documentary",2013,"When winning isn't everything."
3296985,"759 Dresden",2010,"An Unsolved Case Never Has To Be"
3296987,"759: Boy Scouts of Harlem",2009,"a warm, tender, funny documentary about Scouting in an unexpected place."
3297097,7E,2013,"Every apartment has a life of its own."
3297134,"7th Day",2013,"Hi, I'm Allen. And this is what I do."
3297326,"8 Murders a Day",2011,"The greatest human rights disaster is occurring 10 feet from the U.S.A."
3297341,"8 Pounds of Flesh: Purgatorium",2010,"A Fate Worse Than Death,Abandon All Hope..."
3297346,"8 Reels of Sewage",2012,"An Honest, Lyrical Work.,The must see cult film phenomenon of the decade."
3297540,816,2013,"Where were you and what were you doing when you heard Elvis had died?"
3297604,869,2012,"Revenge has a number.,The Devil's in the Details,Everyone has a secret, who can YOU trust?"
3297689,"8: The Mormon Proposition",2010,"Equality for some"
3297710,8:46,2011,"Never Forget"
3297720,8Dazeaweakend,2009,"one weekend one life one experience"
3297777,9,2009,"(1) To Protect Us...,(2) To Inspire Us...,(3) To Define Us...,(4) To Teach Us...,(5) To Guide Us...,(6) To Lead Us...,(7) To Defend Us...,(8) To Guard Us...,(9) To Save Us.,When our world ended their mission began."
3297956,9-Ball,2012,"Her talent made her a winner. Her heart made her a champion."
3298014,"9/11: Explosive Evidence - Experts Speak Out",2012,"40 Experts Present Explosive 9/11 Testimony"
3298274,"95ers: Time Runners",2013,"Time does not exist. Only choice."
3298284,"96 Minutes",2011,"Out of options. Out of control. Out of time."
3298376,"99 Percent Sure",2011,"What do you love, what do you live for?"
3298566,@home,2013,"Challenging the hopelessness of homelessness"
3298582,@urFRENZ,2010,"In the world of social networking...do you know who your friends are?"
3298866,"A Bag of Hammers",2011,"A con is easy. Family is hard.,A comedy about good times and grand theft."
3299224,"A Belly Full of Anger",2012,"Even the most jaded among you will be disgusted by the sight of it!"
3299266,"A Better Life",2011,"Every father wants more for his son"
3299357,"A Big Love Story",2012,"One Really BIG Love Story!,Worth the Weight!"
3299360,"A Big Road",2009,"The Journey from Death to Life"
3299423,"A Bird of the Air",2011,"Boy meets parrot meets girl."
3299429,"A Birder's Guide to Everything",2013,"Find your reason to fly."
3299793,"A Box for Rob",2013,"Secrets are hard to keep... the truth is even harder."
3299994,"A Breath to Survive",2013,"A woman unplugs from corporate life and discovers an artist within herself."
3300442,"A Cadaver Christmas",2011,"Never Leave a Mess Unclean!,God Bless Everyone!"
3300498,"A Call to Arms",2009,"The Anthrax Vaccine bodes evil for the American public,When you join the military, you are not supposed to roll up your sleeve and die!"
3300793,"A Case of You",2013,"He'll be everything she likes but himself."
3301433,"A Christmas Carol",2009,"Season's Greedings,Ready for Christmas? Neither is Scrooge. But it only takes one night to change your life.,What if you had but a single night to get your life right?,Christmas comes but once a year, but for one man, that's once too often."
3301521,"A Christmas Snow",2010,"The storm of the century, brings the gift of a lifetime."
3301560,"A Christmas Tree Miracle",2013,"This Christmas, it's time to believe."
3301678,"A City Divided",2013,"History of the USC vs. UCLA Football Rivalry."
3301981,"A Colorful Romance",2012,"In a world of black and white, the only key to color is love."
3302049,"A Community Concern",2010,"A film giving visibility to the power of organizing as a way to improve urban public schools"
3302423,"A Country Christmas",2013,"It Will Take a Village to Save This Christmas"
3302598,"A Cricket in the Court of Akbar",2009,"In a unique twist of globalization, a young American sitar player vies for the championship at the largest music competition in Rajasthan, India."
3302626,"A Crooked Line",2012,"Trainspotting meets National Geographic meets Intervention."
3302993,"A Dangerous Method",2011,"Based on the true story of Jung, Freud and the patient who came between them.,Why deny what you desire the most. [Scandinavian DVD]"
3303055,"A Dark Place",2012,"Woods, Crickets and Blood,I only want the necklace."
3303450,"A Day in the Life",2009,"One Bullet Leads To Another"
3303688,"A Day on the Asteroid",2009,"There's something going on this asteroid!"
3303928,"A Decade of Courage",2009,"Never again."
3304004,"A Demon in My View",2013,"Confront Your Demons"
3304089,"A Detroit Thing",2009,"From the street to the dotted line . . ."
3304099,"A Devil in God's House",2013,"Words are powerful so use them wisely"
3304681,"A Dream Deferred",2013,"On July 15, 2012, President Obama granted Deferred Action to one million undocumented youth in the United States. Four of them go to Harvard."
3305692,"A Fight for Survival",2010,"The Strength to Live"
3305710,"A Fighting Chance",2010,"Every day is a battle."
3305711,"A Fighting Chance",2012,"One sport ... One people ... Two homes ... Separated by 90 miles"
3305757,"A Film About Races",2009,"Definitely not a film about racism..."
3305831,"A Fine Line",2011,"On Which Side of the Line Do Your Loyalties Lie?"
3305832,"A Fine Line",2011,bouldering
3306264,"A Fork in the Road",2009,"For every couple who has never killed each other."
3306741,"A Gang Land Love Story",2010,"Three Families. Two Lovers. One War."
3306825,"A Genesis Found",2010,"In 1938, John Patton Jr. found the key to our darkest secret. It's about to be found again."
3306837,"A Gentle Walk",2009,"A filmmaker's spiritual journey to the bottom of the top."
3306993,"A Girl and a Gun",2013,"17 Million Women. One Loaded Issue."
3307073,"A Girl Named Rachel",2011,"I guess the cats out of the bag...,Whats in the box?"
3307205,"A Girl, a Guy, a Space Helmet",2012,"Love is out there... way out there."
3307219,"A Glance",2012,"A glance can be as fleeting as a moment ... seize it"
3307223,"A Glaring Emission",2010,"Let me be honest with you. I am a liar."
3307243,"A Glimpse Inside the Mind of Charles Swan III",2012,"Handsome. Brilliant. Heartbroken."
3307386,"A Good Day to Die Hard",2013,"Yippee Ki-Yay Mother Russia,Like father. Like son. Like hell!"
3307500,"A Good Old Fashioned Orgy",2011,"A comedy about old friends in new positions."
3307601,"A Grain of Sand",2009,"A mythical journey to one of the last remaining battlegrounds where the future of one man and an island stand against the ever-expanding reach of our insatiable desires."
3307862,"A Guy Named Rick",2013,"The end of the world is easy. Falling in love is hard."
3308008,"A Happy Ending",2011,"When it comes to the final curtain call we no longer need to dread and fear the end.,When your life comes to an end...don't you want ""A Happy Ending""?"
3308124,"A Haunted House",2013,"This $*%! ain't paranormal!"
3308131,"A Haunting at Silver Falls",2013,"Twin girls haunt a new girl in town to steer her down the path to the right killer.,The Dead Never Forgive"
3308307,"A Hero's Unsung Dignity",2009,"The Revolution Will Be Streamed!"
3309120,"A Journey in My Mother's Footsteps",2011,"For every person who dedicates their life to a cause, their family makes a collective sacrifice."
3309389,"A Killing on Brighton Beach",2009,"A tale of Betrayal, Murder, and the Russian Underworld"
3309561,"A Knock at the Door",2010,"We all have bad days...his was just worse than yours."
3309910,"A Late Quartet",2012,"No arrangement is more beautiful...or more complicated."
3310084,"A Letter for Joe",2013,"Forgiveness is no joke."
3310412,"A Light in the Window Lost",2009,"The ghosts of a love long past still live beneath these streets."
3310457,"A Line in the Sand",2009,"Men at some time are Masters of their Fates."
3310523,"A Little Bit of Heaven",2011,"Life starts now."
3310568,"A Little Christmas Business",2013,"Life can be wonderful..."
3310620,"A Little Help",2010,"Ever have one of those lives?"
3310692,"A Little Party",2009,"You never know who's gonna show up."
3310881,"A Lonely Place for Dying",2009,"In a covert war the only way to hide the truth is to bury it."
3311072,"A Lost Generation",2012,"Are you lost?"
3311095,"A Lot Like You",2012,"The truth has no borders."
3311112,"A Lotus 'Til Reckoning",2013,"Don't You Need Somebody To Love?"
3311126,"A Love Affair of Sorts",2011,"The story of a boy, a girl, and a camera."
3311133,"A Love Denied",2011,"The only love is a love lost."
3311274,"A Lower Power",2009,"In the battle between his head and his heart, there was a weapon bigger than both of them."
3311413,"A Madea Christmas",2013,"Ho No She Didn't,Ho, Ho, Ho,This Little Fool Thinks She's Getting A Damn Pony,Jolly, Fat, Old. Who Were You Expecting?"
3311594,"A Man Called Nereus",2012,"The hunt for the brain is on!,The hunt for the ""Brain"" is on!"
3311862,"A Mannequin in Static",2009,"Everybody Has a Story to Tell..."
3311902,"A Marine Story",2010,"Every fight is personal"
3312035,"A Matter of Justice",2011,"Do you let your children play in the park alone? Do you let your children go anywhere alone? THINK AGAIN!"
3312131,"A Measure of Faith",2012,"Your beliefs will be tested."
3312367,"A Method",2013,"Where is the line drawn between ambition and obsession?"
3312714,"A Miracle in Spanish Harlem",2013,"Doing all the wrong things, for all the right reasons."
3312910,"A Modern Pride and Prejudice",2011,"First Impressions Are Not Always Lasting Ones"
3312946,"A Modest Suggestion",2011,"In a corporate boardroom, four men in suits discuss the next item on their agenda: ""Should we or should we not... kill the Jews?"""
3313070,"A Monster Among Men",2013,"What really happened at Six Rivers?"
3313303,"A Mother's Love",2011,"Mothers Matter"
3314201,"A Night in Old Mexico",2013,"THIS COWBOY AIN'T DONE YET.,Directed by Emilio Aragón"
3314351,"A Nightmare in Las Cruces",2011,"Horror and violence unfolds right before your eyes!"
3314362,"A Nightmare on Elm Street",2010,"Never Sleep Again.,All you have to do is dream...,Welcome to Your New Nightmare.,He knows where you sleep."
3314497,"A Norml Life",2011,"The American Marijuana Revolution"
3314569,"A Numbers Game",2010,"The biggest deal of their lives is about to close."
3314805,"A Panther Meadow Diary",2013,"Panther Meadow rests upon the southern slopes of Mount Shasta in Northern California. This area is well known as a sacred place for healing, renewal and rebirth amongst healers from all over the world. The Native American villages that lay within eyesight of Mount Shasta have sent their medicine people to the mountain for thousands of years to perform sacred ceremonies of gratitude to The Great Spirit & Mother Earth, as well as to the Spirits of the North, South, East & West for all the blessings of living in such a beautiful and bountiful paradise."
3315151,"A Perfect Getaway",2009,"Everyone Needs A Place To Escape,6 Strangers. 2 Killers. No Getting Away.,Let The Games Begin.,The Holiday is over"
3315371,"A Picture of You",2013,"Family. Secrets. Metadata."
3315526,"A Place at the Table",2012,"One nation. Underfed."
3315561,"A Place for All",2009,"According to the CDC, 1 out of 5 Americans has at least one disability."
3315636,"A Place of Truth",2013,"Name a Price. Pick a Subject. Get a Poem."
3315646,"A Place to Call His Own",2013,"Life May End, But Friendship Never Dies"
3315824,"A Polite Bribe",2013,"The Story the Bible would not Tell."
3316313,"A Proper Violence",2011,"Any plan can backfire"
3316905,"A Reading of Tristan & Isolde",2009,"It is Written"
3317174,"A Resurrection",2013,"He's coming for you,Proteja sua alma! (Protect Your Soul!) (Brazilian release),Some mistakes can never be buried.,Il revient vous chercher (He's coming for you) (French release)"
3317401,"A Rogue in Londinium",2010,"A painter in Victorian London is the prime suspect for the Jack the Ripper murders."
3317764,"A Sad State of Affairs",2013,"It Doesn't Have to Be Like That."
3317773,"A Safe House",2010,"A 21st century Gangster's tale"
3318003,"A Sea Change",2009,"Imagine a world without fish."
3318369,"A Shameless Revenge",2013,"Are you a statistic?"
3318646,"A Sicilian Odyssey",2009,"Come to life in Sicily!,How far would you travel to find your way home?"
3318754,"A Simple Life",2013,"A dying elderly women recollects the choices she made in her life before finally letting go."
3318842,"A Single Shot",2013,"One Chance,One Secret,One Mistake"
3318892,"A Sister's Call",2012,"Some call him crazy. I call him my brother."
3319048,"A Small Act",2010,"A single gesture. Limitless possibilities."
3319170,"A Soapbox in Haiti",2012,"Recovery. One speaker at a time."
3319283,"A Soldier's Story: Fatal Immunity",2013,"Fatal Immunity"
3319487,"A South Bronx Family",2013,"New York City Has A Third World"
3319498,"A Southern Story",2010,"Southern families are everywhere."
3319842,"A Step Too Far? A Contemplation On Forgiveness",2013,"Thoughts become words, words become actions and actions become character"
3320220,"A Study in Gravity",2013,"Gravity lifts us up and tears us down"
3320304,"A Sudden Sleep of Evil",2010,"Just because I am asleep, doesn't mean that I'm not awake"
3320423,"A Surprise in Texas",2010,"The Thirteenth Van Cliburn International Piano Competition"
3320501,"A Swingin' Trio",2011,"A film about love, music, betrayal, and a really good dinner"
3320662,"A Tale of Delight",2012,"How do you find peace when haunted by violence?"
3320789,"A Tale of Two Totters",2010,"What does it take to break a World Record?"
3321166,"A Test of Wills",2009,"Sometimes you have to lose your mind to find your way"
3321237,"A Thing as Big as the Ocean",2009,"Two strangers leaving New Orleans travel west together hoping to lead their lives in a new direction."
3321299,"A Thousand Kisses Deep",2011,"There are some secrets... only time will tell"
3321331,"A Thousand Words",2012,"He only has 1000 words left to discover what matters the most.,Make every word count.,Nothin' but a good time"
3322315,"A True Story. Based on Things That Never Actually Happened. ...And Some That Did.",2013,"A Bromantic Dramedy.,A film within a film...within a film.,Everyone has a price.,You have to sell something, in order to sell out"
3322562,"A Variety of Mysteries",2012,"A no budget film featuring inadvertent elements of magical realism to entertain and delight."
3322704,"A Very Harold & Kumar 3D Christmas",2011,"Christmas comes prematurely"
3322727,"A Very Mary Christmas",2010,"Sometimes we make our own families..."
3322753,"A Very Perfect Crime",2013,"$20,000,000 is missing...and all the suspects are dead."
3322907,"A Video Diary from Iraq",2009,"Operation Dessert Storm, What you didn't see on the news"
3323506,"A War Hero",2012,"In Memory of Charlie Mancini ""A War Hero"""
3323617,"A Way of Life",2009,"If you can master the mental part, you can do anything."
3323628,"A Way Out",2011,"Pray they find one."
3323887,"A Whisper to a Roar",2012,"They will be heard."
3324438,"A Woman's Worth",2012,"Know your worth!"
3324700,"A Year in Mooring",2011,"What does it take to find the way back?,Every past hides a secret. Every life has a journey."
3324795,"A Zest for Life: Afro-Peruvian Music & Dance",2010,"Will this traditional music and traditional dance survive?"
3324807,"A Zombie Invasion",2012,"Zombies!...And they're invading!"
3324923,A+,2013,"Make the grade. Sell your soul."
3325029,A-lister,2011,"If you want it - you will have it; if you don't have it - you didn't really want it."
3325053,A-Town,2011,"No Man is an Island"
3325130,A.C.O.D.,2013,"He's about to ruin a perfectly good divorce."
3325144,"A.D.A.M: The Beginning",2013,"What is the government not telling us?"
3325755,"Aaj Kal",2010,"When loves comes unexpectedly!"
3325809,"Aakhari Decision",2010,"Make the right decision"
3326283,"Aaron's House",2012,"A legacy of terror for more than 150 years."
3326291,"Aaron... Albeit a Sex Hero",2009,"He finally gets it in the end."
3326775,Abanunule,2009,"Can grace pass you by?"
3327191,Abducted,2013,"Your body. Their experiment.,No warning. No reason. No escape."
3327238,Abduction,2009,"A nice place to visit, but you wouldn't want to die there,Welcome to Process - Where we love you to pieces..."
3327240,Abduction,2011,"What if your entire life was a lie?,The fight for the truth will be the fight of his life.,They Stole His Life. He's Taking It Back."
3327365,Abed,2012,"Its a new world and we have to survive."
3327395,"Abel's Field",2012,"Sometimes the heroes are on the sidelines"
3327797,"Abigail - The Salem Witch Trials Rock Opera",2010,"Now Brewing"
3328026,"Aborted Sun",2013,"Finding Hope After Miscarriage and Abortion"
3328136,"About Cherry",2012,"There's no such thing as going too far."
3328179,"About Fifty",2011,"a coming of age story... about the coming of age.,The beginning of the end... or the end of the beginning."
3328233,"About Miracles",2013,"When the logical explanation is God."
3328396,"Above the Fire",2012,"Tell me goodbye. Don't ever forget me. But go live your life."
3328505,"Abraham Lincoln: Vampire Hunter",2012,"Are you a patriot or a vampire?,President by day. Hunter by night."
3328508,"Abraham Obama",2009,"Bombing For Obama"
3328617,"Abrupt Decision",2011,"When life depends on it."
3328713,Absence,2009,"""When a girl is kidnapped in a small, idyllic suburb, we'll find that there is no right or wrong... only different points of view."""
3328782,Absent,2010,"One man makes a world of difference"
3328841,Absentia,2011,"There are fates worse than death."
3328853,Absinthe,2012,"Get your green on."
3328909,"Absolute Deception",2013,"She thought she had the perfect life,Time to settle the Score,The truth is darker than you can imagine."
3328915,"Absolute Fear",2012,"Don't believe everything you see.,The only thing you have to fear is... yourself."
3328924,"Absolute Killers",2011,"He's so busy trying to save her, he doesn't realize she's saving him.,He thought he was saving her, he had no idea she was saving him.,Redemption's a beautiful thing.,For the biggest crime family, loyalty is above all.,They will always protect their own.,If you want to get out, you have to change the rules.,Sometimes loyalty can get you killed.,Who can you really trust...,You always have a choice..."
3328947,"Absolute Trust",2009,"A love story for the grownup in all of us. Dark romance. Cyber mystery. Sexual healing. Happy ending."
3328965,"Absolutely American: A Comedy Heated Rally with Action",2009,"Nonviolence peace love friendship stereotype discriminate prejudice heated rally Absolutely American"
3329100,Abstraction,2012,"What do you see?"
3329126,"Absurd Illusions",2011,"Sometimes your girlfriend seems to be acting just a little out of the ordinary."
3329250,"Abundant Sunshine",2009,"A Killer's View"
3329598,Acceptance,2011,"Who will be the perfect target?"
3329978,"Accused at 17",2009,"Meet the real Mean Girls...,Accused of murder...and only her mother can save her!"
3330113,"Ace the Zombie: The Motion Picture",2012,"Have your Zom-Calm ready,Back from the dead and hungry as hell"
3330292,"Achievement Unlocked",2012,"Boom. Heartshot."
3330909,"Across the Hall",2009,"Revenge is only one door away."
3331053,"Act Naturally",2011,"Getting back to nature never seemed so unnatural."
3331105,"Act of Valor",2012,"The only easy day was yesterday.,of their own accord"
3331141,"Act Your Age: The Kids of Widney High Story",2010,"See the world through the eyes of a Kid."
3331270,Action,2011,"We can make reality."
3331305,"Action Figures",2011,"Family Dysfunction, Corporate Politics, and the Child in All of Us"
3331440,Action!!!,2010,"The funniest little film ever made about the biggest damn movie never made!"
3332003,Adam,2009,"A story about two strangers. One a little stranger than the other..."
3332567,"Addicted: The Series",2013,"Everybody's addicted to something..."
3332613,"Addiction Incorporated",2011,"He who addicts the most wins."
3332619,"Addiction, Recovery and Yoga",2009,"There maybe somebody out there who needs help."
3332630,"Addiction: What's Yours?",2011,Fabulosity
